Longitude      Co-latitude    radius
170.000000     70.123370      6375663.341    
-180.000000    80.065606      6377510.660    
-170.000000    80.065606      6377509.926    
-160.000000    80.065606      6377508.354    
-150.000000    80.065606      6377499.206    
-140.000000    80.065606      6377486.658    
-130.000000    80.065606      6377468.769    
-120.000000    80.065606      6377458.508    
-110.000000    80.065606      6377468.569    
-100.000000    80.065606      6377486.355    
-90.000000     80.065606      6377499.446    
-80.000000     80.065606      6377498.719    
-70.000000     80.065606      6377487.381    
-60.000000     80.065606      6377456.349    
-50.000000     80.065606      6377455.214    
-40.000000     80.065606      6377480.901    
-30.000000     80.065606      6377500.866    
-20.000000     80.065606      6377515.154    
-10.000000     80.065605      6377530.554    
-0.000000      80.065606      6377521.541    
10.000000      80.065606      6377519.314    
20.000000      80.065606      6377499.877    
30.000000      80.065606      6377492.740    
40.000000      80.065606      6377488.255    
50.000000      80.065606      6377466.140    
60.000000      80.065606      6377439.602    
70.000000      80.065607      6377406.732    
80.000000      80.065607      6377400.489    
90.000000      80.065606      6377434.728    
100.000000     80.065606      6377472.689    
110.000000     80.065606      6377508.892    
120.000000     80.065605      6377549.641    
130.000000     80.065605      6377557.658    
140.000000     80.065605      6377558.301    
150.000000     80.065605      6377543.075    
160.000000     80.065605      6377533.118    
170.000000     80.065606      6377522.367    
-180.000000    90.000000      6378158.686    
-170.000000    90.000000      6378152.726    
-160.000000    90.000000      6378153.533    
-150.000000    90.000000      6378150.321    
-140.000000    90.000000      6378138.198    
-130.000000    90.000000      6378124.447    
-120.000000    90.000000      6378114.421    
-110.000000    90.000000      6378117.144    
-100.000000    90.000000      6378123.291    
-90.000000     90.000000      6378133.344    
-80.000000     90.000000      6378152.041    
-70.000000     90.000000      6378150.923    
-60.000000     90.000000      6378124.048    
-50.000000     90.000000      6378111.477    
-40.000000     90.000000      6378118.771    
-30.000000     90.000000      6378139.856    
-20.000000     90.000000      6378150.957    
-10.000000     90.000000      6378156.532    
-0.000000      90.000000      6378154.630    
10.000000      90.000000      6378146.805    
20.000000      90.000000      6378120.722    
30.000000      90.000000      6378126.632    
40.000000      90.000000      6378109.784    
